title,score,evaluate,quote,link_url
阳光灿烂的日子,8.8,635400人评价,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
完美的世界,9.1,328353人评价,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
倩女幽魂,8.8,762544人评价,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
时空恋旅人,8.8,708220人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
天使爱美丽,8.7,973870人评价,法式小清新。 ,https://movie.douban.com/subject/1292215/
title,score,evaluate,quote,link_url
小森林 夏秋篇,9.0,439023人评价,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
未麻的部屋,9.1,360030人评价,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
哈利·波特与火焰杯,8.8,697554人评价,,https://movie.douban.com/subject/1309055/
侧耳倾听,8.9,480465人评价,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
驯龙高手,8.8,785107人评价,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
幸福终点站,8.8,593349人评价,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
一个叫欧维的男人决定去死,8.9,507894人评价,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
怪兽电力公司,8.8,703242人评价,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
教父3,9.0,391013人评价,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
小森林 冬春篇,9.0,391581人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
新世界,8.9,465278人评价,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
玩具总动员3,8.9,540854人评价,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
傲慢与偏见,8.7,835801人评价,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
茶馆,9.6,163572人评价,,https://movie.douban.com/subject/1461403/
萤火之森,8.9,560989人评价,触不到的恋人。,https://movie.douban.com/subject/5989818/
被解救的姜戈,8.8,632659人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
釜山行,8.6,1244822人评价,揭露人性的丧尸题材力作。,https://movie.douban.com/subject/25986180/
神偷奶爸,8.7,976475人评价,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
色，戒,8.7,856395人评价,假戏真情，爱欲深海,https://movie.douban.com/subject/1828115/
告白,8.8,691645人评价,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
哪吒闹海,9.2,270796人评价,想你时你在闹海。,https://movie.douban.com/subject/1307315/
九品芝麻官,8.7,714627人评价,,https://movie.douban.com/subject/1297518/
玛丽和马克思,9.0,431051人评价,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
喜宴,9.0,382233人评价,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
大鱼,8.8,586458人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
title,score,evaluate,quote,link_url
模仿游戏,8.8,671022人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
头号玩家,8.6,1412004人评价,写给影迷，动漫迷和游戏迷的一封情书。,https://movie.douban.com/subject/4920389/
花样年华,8.8,639543人评价,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
头脑特工队,8.8,646305人评价,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
射雕英雄传之东成西就,8.7,662660人评价,百看不厌。 ,https://movie.douban.com/subject/1316510/
我是山姆,9.0,349890人评价,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
七武士,9.3,206924人评价,时代悲歌。,https://movie.douban.com/subject/1295399/
阳光姐妹淘,8.8,603930人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
血战钢锯岭,8.7,805274人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
惊魂记,9.0,312538人评价,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
恐怖直播,8.7,676044人评价,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
黑客帝国3：矩阵革命,8.8,461929人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
你的名字。,8.5,1457083人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
三块广告牌,8.7,850866人评价,怼天怼地，你走后，她与世界为敌。,https://movie.douban.com/subject/26611804/
电锯惊魂,8.7,557862人评价,真相就在眼前。,https://movie.douban.com/subject/1417598/
达拉斯买家俱乐部,8.8,468762人评价,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
心迷宫,8.7,549313人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
疯狂原始人,8.7,864536人评价,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
谍影重重3,8.8,433422人评价,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
